"Find School/District Results"

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","Inter-District Magnet","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Public Schools","Hartford School District",="0643511","Breakthrough Magnet School, North","395 Lyme Street","Hartford","CT",="06120","860-695-6380","860-524-5395","https://breakthroughnorth.org/",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0643311","Breakthrough Magnet School, South","290 Brookfield Street","Hartford","CT",="06106","860-695-5700","860-722-6817","http://www.breakthroughmagnetschool.org/",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0647111","Bulkeley High School","300 Wethersfield Avenue","Hartford","CT","06114-1409","860-695-1011","860-247-3491","http://bulkeley.hartfordschools.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0640611","Burns Latino Studies Academy","195 Putnam Street","Hartford","CT","06106-1328","860-695-2980","860-722-8469","https://www.hartfordschools.org/enroll/school-directory-2/burns-latino-studies-academy/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0642311","Burr School","400 Wethersfield Avenue","Hartford","CT","06114-1414","860-695-3080","860-296-0717","https://www.hartfordschools.org/enroll/school-directory-2/alfred-e-burr-elementary-school/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0643911","Capital Community College Magnet Academy","1304 Main Street","Hartford","CT",="06103","860-906-5122","860-722-8522","http://cccmagnet.hartfordschools.org/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Hartford School District",="0646911","Capital Preparatory Magnet School","1304 Main Street","Hartford","CT",="06103","860-695-9800","860-722-8520","https://capitalprep.org/",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0646411","Classical Magnet School","85 Woodland Street","Hartford","CT",="06105","860-695-9100","860-722-6449","http://www.classicalmagnet.org/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0646011","Culinary Arts Academy at Weaver High School","150 Tower Avenue","Hartford","CT",="06112","860-695-1733","860-722-6414","https://www.hartfordschools.org/enroll/school-directory-2/culinary-arts-academy/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1"
"Program","Hartford School District",="0644111","Early Childhood Development Center (ECDC)","395 Lyme Street","Hartford","CT",="06112","860-695-4090",,,,"Special Education",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0640911","Environmental Sciences Magnet at Hooker School","440 Broadview Terrace","Hartford","CT",="06106","860-695-3760","860-522-7590","http://www.environmentalsciencesmagnet.org/",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0643211","Expeditionary Learning Academy at Moylan School","101 Catherine Street","Hartford","CT",="06106","860-695-4500","860-722-8133","https://www.hartfordschools.org/enroll/school-directory-2/expeditionary-learning-academy-at-moylan-school-elams/",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0643611","Global Communications Academy","85 Edwards Street","Hartford","CT","06112-1826","860-695-6020","860-524-5610","https://www.hartfordschools.org/enroll/school-directory-2/global-communications-academy/",,,,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0647911","Great Path Academy at MCC","60 Bidwell Street, MS #20","Manchester","CT",="06045","860-521-3700","860-512-3701","https://www.manchestercc.edu/great-path-academy/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0647211","HPHS Engineering and Green Technology Academy","55 Forest Street","Hartford","CT",="06105","860-695-1315","860-722-8765","http://aoegt.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0647411","HPHS Law and Government Academy","55 Forest Street","Hartford","CT",="06105","860-695-1320","860-722-8768","https://www.hartfordschools.org/enroll/school-directory-2/hphs-law-government-academy/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0647511","HPHS Nursing and Health Sciences Academy","55 Forest Street","Hartford","CT",="06105","860-695-1325","860-722-8764","https://www.hartfordschools.org/enroll/school-directory-2/hphs-academy-of-nursing-and-health-sciences/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Adult Education Providers","Hartford School District",="0640117","Hartford Adult Education","110 Washington Street","Hartford","CT",="06106","860-695-5840","860-722-8551","https://www.hartfordschools.org/adult-education/",,,,,,,,,,,,,,,,,
"Public Schools","Hartford School District",="0645411","Hartford Magnet Trinity College Academy","53 Vernon Street","Hartford","CT",="06103","860-757-6201","860-947-9935","http://hmms.hartfordschools.org/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0641311","Hartford PreKindergarten Magnet School","121 Cornwall Street","Hartford","CT",="06112","860-695-5820",,"http://hpsschools.org/prek/",,,"Yes",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public School Districts","Hartford School District",="0640011","Hartford School District","960 Main Street","Hartford","CT",="06103","860-695-8000",,"http://www.hartfordschools.org/",,,,,,,,,,,,,,,,,
"Public Schools","Hartford School District",="0647611","High School, Inc.","150 Tower Avenue","Hartford","CT",="06112","860-695-7106","860-768-1487","https://highschoolinc.hpsschools.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0647711","Journalism and Media Academy","150 Tower Street","Hartford","CT",="06120","860-695-1818","860-722-6432","http://jma.hartfordschools.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0641011","Kennelly School","180 White Street","Hartford","CT","06114-2242","860-695-3860","860-522-9372","https://www.hartfordschools.org/enroll/school-directory-2/e-b-kennelly-school/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0641111","Kinsella Magnet School of Performing Arts","65 Van Block Avenue","Hartford","CT",="06114","860-695-4140","860-522-0004","http://www.kinsellamagnet.org/",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Adult Education Providers","Hartford School District",="0640217","Literacy Volunteers of Greater Hartford (LVGH)","30 Arbor Street","Hartford","CT",="06106","860-233-3853","860-283-8442","http://www.lvgh.org",,,,,,,,,,,,,,,,,
"Public Schools","Hartford School District",="0640811","M. D. Fox School","470 Maple Avenue","Hartford","CT","06114-1215","860-695-7790","860-724-5855","https://www.hartfordschools.org/enroll/school-directory-2/dr-michael-d-fox-school/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0641611","M. L. King, Jr. Middle School","260 Holcomb Street","Hartford","CT",="06112","860-695-3980","860-722-8342","https://www.hartfordschools.org/enroll/school-directory-2/martin-luther-king-jr-elementary-school/",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0641211","McDonough Middle School","111 Hillside Avenue","Hartford","CT","06106-3545","860-695-4260","860-722-8825","http://www.trincoll.edu/Academics/MajorsAndMinors/educational/Pages/McDonough.aspx",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0641911","Milner School","104 Vine Street","Hartford","CT","06112-2271","860-695-4380","860-278-4694","https://www.hartfordschools.org/enroll/school-directory-2/thirman-milner-school/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0643711","Montessori Magnet at Fisher School","280 Plainfield Street","Hartford","CT","06112-1028","860-695-3560",,,,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0640511","Montessori Magnet at Moylan School","757 New Britain Avenue","Hartford","CT",="06106","860-695-2600","860-951-7074","http://www.montessorimagnethartford.org/",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0641411","Naylor/CCSU Leadership Academy","639 Franklin Avenue","Hartford","CT","06114-3030","860-695-4620","860-296-2595","https://www.naylorschool.org/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0641511","Parkville Community School","47 New Park Avenue","Hartford","CT","06106-2160","860-695-4721","860-232-7350","https://www.hartfordschools.org/enroll/school-directory-2/parkville-community-school/",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0646611","Pathways Academy of Technology and Design","2 Pent Road","East Hartford","CT",="06118","860-695-9450","860-569-5569","http://www.pathwaystotechnology.com/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Hartford School District",="0640310","Pre-K Integrated - Burr School","400 Wethersfield Avenue","Hartford","CT",="06114","860-695-3080",,"https://www.hartfordschools.org/enroll/school-directory-2/alfred-e-burr-elementary-school/",,"Special Education-Pre-K Only",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640510","Pre-K Integrated - Naylor School","639 Franklin Avenue","Hartford","CT",="06114","860-695-4620","860-296-2595","https://www.hartfordschools.org/enroll/school-directory-2/dr-james-h-naylorccsu-leadership-academy/",,"Special Education-Pre-K Only",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640410","Pre-K Integrated - Parkville School","47 New Park Avenue","Hartford","CT",="06106","860-695-4720","860-232-7350","https://www.hartfordschools.org/enroll/school-directory-2/parkville-community-school/",,"Special Education-Pre-K Only",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640610","Pre-K Integrated - West Middle School","44 Niles Street","Hartford","CT",="06112","860-695-5480","860-246-8450","https://www.hartfordschools.org/enroll/school-directory-2/west-middle-elementary-school/",,"Special Education-Pre-K Only",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0648311","RISE - Bulkeley High School","300 Wethersfield Avenue","Hartford","CT",="06114","860-695-1011","860-247-3491",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Hartford School District",="0648211","RISE - HPHS Engineering and Green Technology Academy","55 Forest Street","Hartford","CT",="06105","860-695-1315","860-722-8765",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Hartford School District",="0645911","RISE - M.D. Fox School","470 Maple Avenue","Hartford","CT",="06114","860-695-7790","860-724-5855",,,"Special Education",,="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0644611","RISE - West Middle School","44 Niles Street","Hartford","CT","06112-0000","860-695-5480","860-246-8450","http://www.hartfordpublicschools.org",,"Special Education",,="0",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0641711","Rawson School","260 Holcomb Street","Hartford","CT","06112-1436","860-695-4840","860-242-3238","http://hpsschools.org/rawson/",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0644011","Renzulli Gifted and Talented Academy","110 Washington Street","Hartford","CT",="06112","860-695-2140","860-722-6984","https://www.hartfordschools.org/enroll/school-directory-2/dr-joseph-s-renzulli-gifted-and-talented-academy/",,,,="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0640111","SAND School","1750 Main Street","Hartford","CT",="06120","860-695-5040","860-722-8377","http://sand.hartfordschools.org/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0642511","STEM Magnet at Fisher School","280 Plainfield Street","Hartford","CT",="06112","860-695-3500","860-722-8443","http://anniefisherstem.hartfordschools.org/",,,"Yes",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0648411","STEP/Transition - HPHS Law & Government Academy","55 Forest Street","Hartford","CT",="06105","860-695-1489",,,,"Public School-Based Transition Program",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Hartford School District",="0643011","Sanchez School","176 Babcock Street","Hartford","CT","06106-1357","860-695-4940","860-560-3493","https://www.sanchezschool.com/",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0646511","Sport and Medical Sciences Academy","280 Huyshope Avenue","Hartford","CT",="06106","860-695-6900","860-722-8017","http://www.sportandmedicalsciences.org/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0646711","University High School of Science and Engineering","351 Mark Twain Drive","Hartford","CT",="06112","860-695-9020","860-722-6408","http://uhsse.org/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Adult Education Providers","Hartford School District",="0640317","Urban League of Greater Hartford","140 Woodland Street","Hartford","CT",="06105","860-527-0147","860-727-0936","http://www.ulgh.org",,,,,,,,,,,,,,,,,
"Public Schools","Hartford School District",="0642011","Webster Micro Society Magnet School","5 Cone Street","Hartford","CT",="06105","860-695-5380","860-722-8786","https://nwmms.org/",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0642111","West Middle School","44 Niles Street","Hartford","CT",="06112","860-695-5480","860-246-8450","https://www.hartfordschools.org/enroll/school-directory-2/west-middle-elementary-school/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0642211","Wish Museum School","350 Barbour Street","Hartford","CT","06120-1002","860-695-5600","860-722-8326","https://www.hartfordschools.org/enroll/school-directory-2/museum-academy-at-wish/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0649511","iGOAL 1 - Breakthrough Magnet School, North","395 Lyme Street","Hartford","CT",="06120","860-695-6050",,"http://hartfordschools.org",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0644711","iGOAL 1 - Burns School","195 Putnam Street","Hartford","CT",="06106","860-695-2980","860-722-8469","http://www.hpschoice.com/burns-latino-studies-academy",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0644911","iGOAL 1 - HPHS Law and Government Academy","55 Forest Street","Hartford","CT",="06105","860-695-1489",,,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Hartford School District",="0648911","iGOAL 1 - McDonough Middle School","111 Hillside Avenue","Hartford","CT",="06106","860-695-4260",,"http://www.",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0640110","iGOAL 1 - Milner School","104 Vine Street","Hartford","CT",="06112","860-695-4380","860-278-4694","https://www.hartfordschools.org/enroll/school-directory-2/thirman-milner-school/",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0649811","iGOAL 1 - Moylan School","101 Catherine Street","Hartford","CT",="06106","860-695-4500","860-722-8133","http://hartfordschools.org",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0645711","iGOAL 1 - Naylor School","639 Franklin Avenue","Hartford","CT",="06114","860-695-4620","860-296-2595",,,"Special Education",,="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0648711","iGOAL 1 - Parkville School","47 New Park Avenue","Hartford","CT",="06106","860-695-4720","860-232-7350","https://www.hartfordschools.org/enroll/school-directory-2/parkville-community-school/",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0644411","iGOAL 1 - Rawson School","260 Holcomb Street","Hartford","CT",="06112","860-695-4840","860-242-3238",,,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640210","iGOAL 2 - Kennelly School","180 White Street","Hartford","CT",="06114","860-695-3860","860-522-9372","https://www.hartfordschools.org/enroll/school-directory-2/e-b-kennelly-school/",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0648511","iGOAL 2 - Moylan School","101 Catherine Street","Hartford","CT",="06106","860-695-4500","860-722-8133",,,"Special Education",,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640710","iGOAL Pre-K - Naylor School","639 Franklin Avenue","Hartford","CT",="06114","860-695-4620","860-296-2595","https://www.hartfordschools.org/enroll/school-directory-2/dr-james-h-naylorccsu-leadership-academy/",,"Special Education-Pre-K Only",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640810","iGOAL Pre-K - Rawson School","260 Holcomb Street","Hartford","CT",="06112","860-695-4840","860-242-3238","http://hpsschools.org/rawson/",,"Special Education-Pre-K Only",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0645011","iGoal 2 - Bulkeley High School","300 Wethersfield Avenue","Hartford","CT",="06114","860-695-1011","860-247-3491",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartland School District",="0650111","Hartland School","30 South Rd.","East Hartland","CT","06027-9710","860-653-7207",,"http://hartlandschool.com",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Hartland School District",="0650011","Hartland School District","30 South Road","East Hartland","CT",="06027","860-653-7207","860-844-8528","http://hartlandschool.com",,,,,,,,,,,,,,,,,
"Public Schools","Hebron School District",="0670211","Gilead Hill School","580 Gilead St.","Hebron","CT","06248-1314","860-228-9458",,"http://www.ghs.hebron.k12.ct.us/",,,,="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hebron School District",="0670111","Hebron Elementary School","92 Church St.","Hebron","CT","06248-1427","860-228-9465",,"http://www.hes.hebron.k12.ct.us/",,,,="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public School Districts","Hebron School District",="0670011","Hebron School District","580 Gilead Street","Hebron","CT",="06248","860-228-2577",,"http://www.hebron.k12.ct.us",,,,,,,,,,,,,,,,,
"Public Charter Schools","Highville Charter School District",="2860113","Highville Charter School","1 Science Park","New Haven","CT",="06511","203-287-0528","203-497-9899","http://www.highvillecharter.com",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter School Districts","Highville Charter School District",="2860013","Highville Charter School District","One Science Park","New Haven","CT",="06511","203-287-0528",,"http://highvillecharter.com/",,,,,,,,,,,,,,,,,
"Colleges and Universities","Housatonic Community College",="5780038","Housatonic Community College","900 Lafayette Blvd.","Bridgeport","CT",="06604","203-332-5200",,,,,,,,,,,,,,,,,,,
"Public Charter Schools","Integrated Day Charter School District",="2640113","Integrated Day Charter School","68 Thermos Ave.","Norwich","CT",="06360","860-892-1900",,,,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Charter School Districts","Integrated Day Charter School District",="2640013","Integrated Day Charter School District","68 Thermos Ave.","Norwich","CT",="06360","860-892-1900",,"http://info@idcs.org",,,,,,,,,,,,,,,,,
"Public Charter Schools","Interdistrict School for Arts and Comm District",="2655113","Interdistrict School For Arts And Communication","190 Governor Winthrop Blvd.","New London","CT",="06320","860-447-1003","860-447-0470","http://www.isaacschool.org",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Charter School Districts","Interdistrict School for Arts and Comm District",="2650013","Interdistrict School for Arts and Comm District","190 Governor Winthrop Blvd.","New London","CT",="06320","860-447-1003","860-447-0470","http://www.isaacschool.org",,,,,,,,,,,,,,,,,
"State Agency Facilities","Judicial Centers",="3481315","Boys Intermediate Residential Program (Boys IR)","550 Goshen Road","Litchfield","CT",="06759","860-567-9423",,"http://www.ctjuniorrepublic.org/page.cfm?p=645",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3481015","Boys Therapeutic Respite and Assessment Center (TRAC)","550 Goshen Rd","Litchfield","CT",="06759","203-401-2066",,"http://www.ctjuniorrepublic.org/page.cfm?p=645",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3480115","Bridgeport Detention Center","60 Housatonic Ave","Bridgeport","CT",="06604","203-579-3671",,"http://www.jud.ct.gov",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3481515","Girls Intermediate Residential Program (Girls IR)","11 Country Pl","Litchfield","CT",="06759","860-567-3809",,"http://www.nafict.org/services/residential-programs/multidimensional-family-therapy-intermediate-res",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3481615","HAMILTON","222 Bennett Street","Bridgeport","CT",="06604","203-690-5188",,"http://www.bgvillage.org",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3480315","Hartford Detention Center","920 Broad St.","Hartford","CT",="06106","860-244-7965",,"http://www.jud.ct.gov",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3481915","Journey House","189 Storrs Road","Mansfield","CT",="06250","860-465-5946","860-423-1109","http://www.natchaug.org",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"State Agencies","Judicial Centers",="3480015","Judicial Centers","936 Silas Deane Hwy.","Wethersfield","CT",="06109","860-721-2158",,,,,,,,,,,,,,,,,,,
"State Agency Facilities","Judicial Centers",="3481715","REGIONS secure Bridgeport","60 Housatonic Ave","Bridgeport","CT",="06604","203-579-6548",,"http://www.jud.ct.gov",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3481815","REGIONS secure Hartford","920 Broad Street","Hartford","CT",="06106","860-244-7961",,"http://www.jud.ct.gov",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter Schools","Jumoke Academy District",="2610113","Jumoke Academy","999 Asylum Ave. Suite 200","Hartford","CT",="06105","860-527-0575",,"http://jumokeacademy.org",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter School Districts","Jumoke Academy District",="2610013","Jumoke Academy District","999 Asylum Ave. Suite 200","Hartford","CT",="06105","860-527-0575",,"http://jumokeacademy.org",,,,,,,,,,,,,,,,,
"Public Schools","Kent School District",="0680111","Kent Center School","9 Judd Street","Kent","CT","06757-0219","860-927-3537","860-927-3925","http://www.kentcenterschool.org",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Kent School District",="0680011","Kent School District","9 Judd Avenue","Kent","CT",="06757","860-927-3537","860-927-3925","http://www.kentcenterschool.org",,,,,,,,,,,,,,,,,
"Program","Killingly School District",="0698011","Goodyear Early Childhood Center","22 Williamsville Rd.","Rogers","CT",="06263","860-779-6770",,"http://killinglypublicschools.org",,"Pre-Kindergarten",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Killingly School District",="0690111","Killingly Central School","60 Soap St.","Dayville","CT","06241-0365","860-779-6750",,"http://www.killingly.k12.ct.us/kcs/",,,,="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Killingly School District",="0696111","Killingly High School","226 Putman Pike","Dayville","CT",="06241","860-779-6620",,"http://www.killingly.k12.ct.us/khs/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Killingly School District",="0695211","Killingly Intermediate School","1599 Upper Maple St.","Dayville","CT","06241-1543","860-779-6700",,"http://www.killingly.k12.ct.us/kis/",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Killingly School District",="0690311","Killingly Memorial School","339 Main St.","Danielson","CT","06239-2856","860-779-6680",,"http://www.killingly.k12.ct.us/newkms/Default.htm",,,,="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public School Districts","Killingly School District",="0690011","Killingly School District","PO BOX 210, 79 Westfield Avenue","Danielson","CT",="06239","860-779-6600",,"http://www.killingly.k12.ct.us/",,,,,,,,,,,,,,,,,
"Regional Education Service Center Schools","Learn",="2456014","Connecticut River Academy","One Riverside Drive","East Hartford","CT",="06118","860-913-2032",,,,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Regional Education Service Center Schools","Learn",="2455014","Dual Language & Arts Magnet Middle School","51 Daniels Avenue","Waterford","CT",="06385","860-434-4800",,,,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Learn",="2451314","LEARN Diagnostic Center in East Lyme","132 Boston Post Road","East Lyme","CT",="06333","860-434-4800",,"http://www.learn.k12.ct.us",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Program","Learn",="2451414","LEARN Diagnostic and Wellness Center","29 Society Road","Niantic","CT",="06357","860-434-4800","860-434-4820","http://www.learn.k12.ct.us",,"Special Education",,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Learn",="2451514","LEARN Integrated Program at TFS","24 Rope Ferry Road","Waterford","CT",="06385","860-434-4800",,"http://www.learn.k12.ct.us",,"Special Education",,="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
