Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
HAMDEN,BP,2011,63,62,NH,121117196,-245732944,-122862604,-37635254,44696470,133437247,183436468,85075902,4142841,184639339,205912,947131,0,0,-996959,-8050094,-255740,0,,128689866,128689866,,,557564,Y,,N,Y,133375296,131430826,0.985421063282964,135150597,131640274,0.974026581621389,60868,Aa3,32.78,4310212858,6106840331.21,478,0.085394079668656,31.16,6941.44,South Central Regional COG
HAMPTON,BP,2011,64,63,W,5171259,1388248,8736735,529657,1761370,3935640,5932795,4105540,0,5473763,0,0,162470,162470,296562,32485,296562,0,0,457570,457570,,,1256707,Y,,N,N,3918732,3829276,0.97717220774475,4065012,3896272,0.958489667435176,1858,,25,153150986,192795746.67,3,0.105309734513274,25.8,205.49,Windham Region COG
HARTFORD,BP,2011,65,64,H,954780000,47155000,1064401000,8296000,272915000,274013000,562686000,304370000,38194000,523968000,4159000,4159000,37427000,37427000,5450000,2335000,5450000,0,,311299000,311299000,,,25086000,Y,,N,Y,268745000,256253000,0.953517274739995,296060000,263161000,0.888877254610552,124867,A1,17.309999999999999,3578545726,7713607784.42,6468,0.162182000811296,72.790000000000006,20984.82,Capital Region COG
HARTLAND,BP,2011,66,65,H,7388172,1438864,8855898,429826,1677101,4603459,6350654,4371558,419465,5947116,2182,2182,282314,282314,123406,9427,123406,0,,1559352,1559352,,,894114,N,,N,N,4619597,4544274,0.983694898061454,4688076,4577478,0.976408658903994,2116,A1,33.020000000000003,195997260,258031633.46,4,0.064935064935065,23.5,319.04000000000002,Litchfield Hills Cncl of Elected Ofcls
HARWINTON,BP,2011,67,66,L,16505832,4664386,21465902,398379,2949577,12873309,16068074,11020375,200000,15837359,0,0,205218,205218,25497,-104529,25497,0,7603234.11,400000,8003234.11,,,2412676,N,,N,N,12918512,12685087,0.981930968520213,13544844,12812451,0.945928280901574,5608,,30.74,556873275,817316050.37,7,0.069702602230483,23.5,918.19,Litchfield Hills Cncl of Elected Ofcls
HEBRON,BP,2011,68,67,T,47141777,4882063,52119825,-1239140,8184027,25122507,34007447,26052515,1875270,34628340,950000,1042709,726627,726627,-397520,28469,-304811,0,13510636.92,8814125,22324761.92,,,3122212,N,,N,N,25010852,24675434,0.986589101402863,25671834,24983183,0.973174842124641,9673,Aa2,36.89,861303505,1116961988.01,9,0.062564632885212,28.94,2122.7800000000002,Capital Region COG
KENT,JG,2011,69,68,L,9472150,4173180,13702709,1441653,868557,9146492,10427780,6345040,766950,9680321,37290,37290,477100,477100,307649,130227,307649,0,623731,5300000,5923731,,,2942944,Y,,N,N,9101526,8966513,0.985165894158848,9384732,9042828,0.963568059269034,2961,Aa2,48.47,653173014,844999864.55,4,0.064316635745207,14.02,356.95,Northwestern CT COG
KILLINGLY,JG,2011,70,69,W,95726718,20510460,116841650,-17185,18514143,28297862,49426661,36148345,2876368,48523701,504700,504700,992021,992021,415639,305368,415639,0,,26094448,26094448,,,10893794,Y,,N,N,27768617,27144886,0.977538276393095,29112312,28033911,0.962957218925106,17330,Aa2,48.52,1302646359,1697988947.06,199,0.107502095557418,19.100000000000001,2591.3000000000002,Northeastern CT COG
KILLINGWORTH,BP,2011,71,70,M,25651376,4859431,30510807,-1651733,2353509,17152051,19855469,16134904,310945,19871639,0,0,771865,771865,-788035,-1160017,-788035,0,8317434.78,2745000,11062434.78,,,2551642,N,,N,N,17066433,16968821,0.994280468566572,17174939,17046671,0.992531676531719,6540,Aa2,35.32,813710635,1030768606.13,6,0.068008705114255,21,1142.24,Lower CT River Valley COG
LEBANON,BP,2011,72,71,NL,32470721,2916720,38632835,430691,7575467,14320970,23497185,18947268,1027849,22821605,998,998,1346309,1346309,-669731,56645,-669731,0,,4265813,4265813,,,3144590,N,,N,N,14532159,14245466,0.980271823340221,14984028,14564905,0.972028682808121,7292,,54.1,656321929,902316814.79,29,0.08255628837844,22.1,1258,Windham Region COG
LEDYARD,JG,2011,73,72,NL,43422064,5697588,49372665,-263336,17568699,29840426,50107766,30952093,1366778,48377905,464304,464304,1949953,1949953,244212,-335920,244212,0,,14562550,14562550,,,3526873,N,,N,N,29777543,29380101,0.986652961931748,30219160,29645412,0.981013767424376,15019,Aa2,38.14,1173556592,1647387295.25,62,0.07339340763576,25.65,2538.2600000000002,Southeastern CT COG
LISBON,BP,2011,74,73,NL,6812382,2155255,9320646,609723,4200991,6933719,12525406,9285039,1385574,12107313,38215,110115,152577,152577,303731,260436,375631,0,,4372864,4372864,,,1934037,Y,,N,N,6815329,6714235,0.985166673538431,7056593,6858728,0.971960264677302,4330,A1,16.25,403394340,559215409.88,15,0.080197643481566,16.899999999999999,713.7,Southeastern CT COG
LITCHFIELD,JG,2011,75,74,L,36130000,12830000,48970000,2392000,2846000,24221000,27523000,17177000,3335000,27192000,424000,424000,649000,649000,106000,10000,106000,0,,29720000,29720000,,,4177000,Y,,N,N,24097000,23651000,0.981491471967465,24651000,23979000,0.972739442618961,8417,Aa2,56.06,1100825786,1538582915.75,18,0.077489077948954,21.9,1203.8699999999999,Litchfield Hills Cncl of Elected Ofcls
LYME,JG,2011,76,75,NL,6722725,803254,7674909,-19602,358166,8201003,8734285,5895593,416482,8863808,225935,225935,67735,67735,28677,51925,28677,0,5823686.39,472158,6295844.39,,,1178652,N,,N,N,8125571,8052740,0.991036814520481,8253476,8109125,0.982510278093739,2401,,31.85,604304941,873380784.99,1,0.055727554179567,13.55,309.25,Lower CT River Valley COG
MADISON,BP,2011,77,76,NH,73287084,16544950,90050586,4447698,6871183,65332472,74561234,51565751,4532918,71450711,94100,6782457,2880473,9426824,324150,194685,466156,0,,42850623,42850623,,,9530278,N,,N,N,65697255,65262107,0.993376466033474,66200470,65355370,0.987234229605923,18239,Aaa,36.18,3425700292,4474726705.03,10,0.05953231900337,19.3,3681.08,South Central Regional COG
MANCHESTER,BP,2011,78,77,H,99265000,6333000,107313000,1295000,39487000,118721000,162409000,102847000,9240000,160915000,1551000,1551000,2898000,2898000,147000,-777000,147000,0,,77251000,77251000,,,15647000,N,,N,Y,124351000,122311000,0.983594824327911,128396000,124239000,0.96762360198137,58287,Aa1,27.25,4254433514,6156673188.29,720,0.083676107650723,31.28,7502.96,Capital Region COG
MANSFIELD,JG,2011,79,78,T,68336430,7699696,76359256,1513966,17875797,25422441,44095898,30739549,810303,42349335,72500,72500,1584110,1584110,234953,119481,234953,0,8055280.89,4619813,12675093.89,,,2196757,Y,,N,N,24957082,24661497,0.988156267627762,25574524,25096368,0.981303425236771,26524,Aa2,44.46,968670393,1385350301.43,42,0.0746394653535,25.71,1975.67,Windham Region COG
MARLBOROUGH,BP,2011,80,79,H,24596929,7307365,31904294,5039163,3973599,16708647,20921710,14575527,2388245,21266675,186342,186342,62181,62181,-220804,10763,-220804,0,7326788.18,20027406,27354194.18,,,2484517,Y,,N,N,16646398,16496734,0.991009226140093,16817174,16605803,0.987431241420229,6410,Aa2,23.28,624260557,823874004.73,13,0.06482982171799,26.58,1229.45,Capital Region COG
MERIDEN,JG,2011,81,80,NH,101927895,-40973019,62301799,1202020,62681718,108758729,182973034,101978309,12596778,180116507,598460,598460,10000,10000,3444987,51117,3444987,0,,77888161,77888161,,,18266261,Y,,Y,Y,108579493,105858662,0.974941575754088,115453819,107928869,0.934822857613744,60770,A1,23.74,3630226863,5064112331.21,1416,0.106213392911056,29.53,9203.2800000000007,South Central Regional COG
MIDDLEBURY,JG,2011,82,81,NH,39333093,7779088,48647121,-535386,951269,25375843,27259887,17927638,957081,27196180,75659,75659,324678,324678,-185312,272320,-185312,0,7397068.13,4305938,11703006.13,,,3570883,Y,,N,N,25304424,24822090,0.980938748101913,26077295,25191424,0.966029030234923,7563,Aa2,17.75,1080733649,1417532059.61,11,0.075298210735586,23.63,1375.29,COG of Central Naugatuck Valley
MIDDLEFIELD,BP,2011,83,82,M,5224360,5143392,10367752,649267,2103521,12273365,14636725,10837057,567174,14565313,254350,254350,32919,32919,292843,169574,292843,0,5768210.14,5034109,10802319.14,,,1442150,N,,N,N,12175681,11991729,0.984891851223763,12474833,12179842,0.97635311029815,4436,,12.7,445995522,624654715.37,3,0.072202166064982,27.43,707.44,Lower CT River Valley COG
MIDDLETOWN,JG,2011,84,83,M,285332000,13887000,300362000,-8118000,31675000,94362000,132626000,73414000,13065000,120923000,525000,945000,13161000,13161000,-933000,110000,-513000,0,,71855000,71855000,,,15447000,N,,N,N,101269000,99118000,0.978759541419388,105230000,100948000,0.959308182077354,47749,Aa2,40.9,3547137206,5170605909.23,474,0.085654288240495,26.4,5385.36,Lower CT River Valley COG
MILFORD,BP,2011,85,84,NH,132115000,-15420000,116945000,-12216000,22384000,153080000,186446000,109306000,10926000,180806000,456000,456000,2002000,2002000,4094000,-1443000,4094000,0,,130576000,130576000,,,23523000,Y,,N,N,153575000,150811000,0.982002279016767,161764000,152858000,0.944944487030489,52675,Aa1,22.56,5430956411,7186613467.49,204,0.081463761556863,28.44,7024.29,South Central Regional COG
MONROE,JG,2011,86,85,F,42622828,-3052383,40092369,-2316343,11739302,64441364,77483724,55364249,5281764,77756260,98371,11326632,120926,11226844,-295091,162999,-172748,0,,45895344,45895344,,,4333618,Y,,N,Y,64320324,63383773,0.985439267998712,65534887,64170815,0.979185559593625,19675,Aa2,26.13,2283352447,3277578057.14,26,0.075547275267816,28.26,3799.82,Greater Bridgeport RPA
MONTVILLE,BP,2011,87,86,NL,53880685,5916860,59877998,2400889,20724108,34028260,57144044,39300580,4718493,58726270,333018,596644,30000,30000,-1279208,-1966315,-1015582,0,,38315599,38315599,,,6054261,Y,,N,N,33858360,33200666,0.980575137130091,35141226,33725335,0.95970854858621,19533,Aa2,42.01,1504954214,2100781523.71,101,0.087216798673789,22.4,2756.17,Southeastern CT COG
MORRIS,BP,2011,88,87,L,5468624,1941127,7582085,306537,732109,7233324,8183907,5762292,0,7900391,0,0,100000,100000,183516,156476,183516,0,1480725.78,0,1480725.78,,,1408929,N,,N,N,7221123,7150894,0.990274504394954,7289670,7198050,0.987431529822338,2373,,17.190000000000001,351157044,509508077.91,5,0.08114199849737,20.6,352.17,Litchfield Hills Cncl of Elected Ofcls
NAUGATUCK,JG,2011,89,88,NH,105480331,-25437625,98176753,-4202077,31580238,64486598,104071405,55962948,7453333,98635533,0,5245000,7339619,9864619,-1903747,476775,816253,0,,92712645,92712645,,,11452069,N,,N,N,64609812,61925713,0.958456789813906,72866029,63583314,0.87260572412969,31810,Aa2,16.39,2014923359,2657203651.45,237,0.106952809777206,32.020000000000003,4854.68,COG of Central Naugatuck Valley
NEW BRITAIN,JG,2011,90,89,H,137210000,-27443000,112650000,7430000,92313000,106904000,211415000,118812000,26301000,215871000,6737000,9588000,217000,2121000,2064000,-988000,3011000,0,,198146000,198146000,,,12047000,Y,,N,Y,107140000,102721000,0.95875490013067,118633000,105818000,0.891977780212926,73261,A1,13.34,2912982773,4012522054.77,2615,0.123270610532016,36.630000000000003,10871.04,Central CT RPA
NEW CANAAN,JG,2011,91,90,F,97881549,19704312,118250154,2676298,7694430,111935834,125014216,77196076,12756239,125237128,0,18073199,1976125,19562325,-2199037,2339499,-1712038,0,,129196660,129196660,,,18951613,Y,,N,N,111010463,110318657,0.993768100940179,112660965,111184993,0.986898993808548,19938,Aaa,22.13,8165273370,10795708736.65,8,0.060670868977938,13.585000000000001,4175.21,South Western RPA
NEW FAIRFIELD,BP,2011,92,91,F,39559856,19004221,59026096,693025,8392917,38986140,49794050,32264595,2831994,49204303,1000,1000,620975,620975,-30228,-567060,-30228,0,,33145000,33145000,,,8445524,Y,,N,N,38795128,38476133,0.991777446900033,39191712,38741681,0.98851718955273,14020,Aa1,20.46,1675283055,2394629950,31,0.072564742999868,23.28,2869,Housatonic Council of Elected Ofcls
NEW HARTFORD,BP,2011,93,92,L,10921448,3400525,14350917,2329255,5898852,17002857,23148847,16105201,944170,21983802,957942,4551942,277500,9177500,1845487,4064918,-3460513,0,2808741.77,8436000,11244741.77,,,3998829,N,,N,N,16890187,16648060,0.985664634737318,17301405,16907783,0.977249130923182,6929,Aa3,37.020000000000003,701838878,964152927.89,8,0.073655103066868,24,1129.5999999999999,Litchfield Hills Cncl of Elected Ofcls
NEW HAVEN,JG,2011,94,93,NH,889013623,-97426220,808566507,42943018,227634807,218720737,485922103,193103792,64951701,490946113,4356227,24375539,2132314,18701626,-2800097,151928,649903,0,,502209789,502209789,,,16827620,N,,N,Y,219290220,213902653,0.975431795362328,224927111,216276372,0.961539811890439,129585,A1,18.850000000000001,5449495563,7748069514.85,4251,0.128192288432649,43.9,17720.41,South Central Regional COG
NEW LONDON,BP,2011,95,95,NL,185683563,13652192,199898426,10127175,35205329,38739813,79226163,39588608,5119394,81326794,1091956,1091956,317104,317104,-1325779,195467,-1325779,0,,41820070,41820070,,,4983548,N,,N,N,38816170,37971745,0.978245535301396,39664517,38318713,0.966070329307174,27569,,5.54,1540355202,2104151971.29,726,0.112047697368421,25.31,3555.19,Southeastern CT COG
NEW MILFORD,BP,2011,96,96,L,97634869,67929996,165564865,2841478,21043666,69341204,94662944,63361649,5590447,94352765,1176892,1458435,1824543,1824543,-337472,940599,-55929,0,,32642564,32642564,,,13924336,Y,,N,N,68492044,67097919,0.97964544611926,71065827,68632888,0.965764994193341,27972,Aa1,61.58,3046266025,4366729431.21,91,0.070959503830719,22.7,4649.16,Housatonic Council of Elected Ofcls
NEWINGTON,BP,2011,97,94,H,65734000,29983000,96402000,4229000,22272000,77704000,101169000,64499000,2372000,96940000,127000,127000,5026000,5026000,-670000,952000,-670000,0,,13938000,13938000,,,16973000,N,,N,N,77679000,76731000,0.987795929401769,78712000,77195000,0.980727208049599,30586,Aa2,13.17,2663897188,4073474409.43,68,0.076958445887695,29.18,4500.9399999999996,Capital Region COG
NEWTOWN,JG,2011,98,97,F,149602482,22463889,174065056,14743780,12282389,92855249,107432162,72045166,9851550,108189425,124177,124177,455000,455000,-1088086,-2012928,-1088086,0,,80794898,80794898,,,8169517,N,,N,N,92798590,91982638,0.991207280196822,93947384,92363881,0.983144788789436,27829,Aa1,57.76,3908204114,4779608801.19,49,0.065431344600557,24,5567.79,Housatonic Council of Elected Ofcls
NORFOLK,JG,2011,99,98,L,4565598,2457253,7022851,-147852,911307,6271475,7372724,4414170,100411,7240502,280785,280785,80040,80040,332967,97874,332967,0,657934.86,1850000,2507934.86,,,1768066,N,,N,N,6222549,6128217,0.984840296155161,6408417,6251298,0.975482400723923,1698,,45.31,309569961,382020958.99,6,0.064549180327869,20.16,246.98,Litchfield Hills Cncl of Elected Ofcls
NORTH BRANFORD,JG,2011,100,99,NH,46206927,8765595,55526787,3619528,10622684,35743842,46906243,30843547,4885851,47833961,662468,999327,142787,142787,-408037,-17132,-71178,0,,51415694,51415694,,,6680812,N,,N,N,34626965,34065188,0.983776314210616,35383509,34408751,0.972451629938681,14383,Aa2,24.92,1296741514,1917957234.75,40,0.076531216680488,26.71,2360.13,South Central Regional COG
NORTH CANAAN,BP,2011,101,100,L,10123425,2075145,12964896,239868,2729132,7317211,10471814,8183328,253544,10724185,0,150000,133210,133210,-385581,298626,-235581,0,1082218.77,762905,1845123.77,,,845878,N,,N,N,7225526,7013307,0.970629266298398,7754821,7238940,0.93347609184016,3295,,19.45,344699240,468661522.43,5,0.090337335620354,21,444.05,Northwestern CT COG
NORTH HAVEN,BP,2011,102,101,NH,53680889,8365834,63574787,1369691,8729212,73908177,88169345,47701735,6971369,86787354,116004,116004,369000,369000,1128995,-1360739,1128995,0,,52698281,52698281,,,14422930,Y,,N,N,73770869,72552212,0.983480511799312,75955987,73244126,0.964296942122548,24054,Aa1,20.77,2828768705,4165595867.14,47,0.080242297337721,26.18,3635.3,South Central Regional COG
NORTH STONINGTON,JG,2011,103,102,NL,5906898,4356972,10685881,594375,5723802,12719214,18879639,11853078,1868549,18714859,0,815000,950004,950004,-785224,375360,29776,0,,2904000,2904000,,,1886183,N,,N,N,12547214,12298956,0.980214093742244,12913802,12551886,0.971974481256566,5287,A1,54.3,620469730,832305655.72,7,0.066870229007634,20.190000000000001,813.32,Southeastern CT COG
NORWALK,JG,2011,104,103,F,263358561,12858639,276842748,9200492,30083768,255380363,295375547,164604885,25302990,293972793,0,0,0,0,1402754,-887044,1402754,0,,206990291,206990291,,,30574487,Y,,N,Y,256900612,252875077,0.984330379874689,259567125,253544345,0.976796830492305,86460,Aaa,22.81,12646134104,17356987044.63,645,0.074714486074935,20.516999999999999,11158.74,South Western RPA
NORWICH,JG,2011,105,104,NL,91688000,10296000,103528000,27277000,38103000,56857000,99336000,67160000,4772000,104971000,8091000,8895000,2535000,2535000,-79000,203000,725000,0,,27544000,27544000,,,10827000,N,,N,Y,57006000,54765000,0.960688348594885,59954000,55708000,0.929179037261901,40408,Aa2,28.33,2384596055,3147981408.81,908,0.096142925785174,24.4,5396.19,Southeastern CT COG
WETHERSFIELD,JG,2011,160,159,H,60078337,13639470,73717807,1209103,14296441,70620970,87073198,54344069,4388624,85862161,0,0,2022213,2022213,-811176,-45155,-811176,0,,30518865,30518865,,,9794730,Y,,N,N,70662766,69806811,0.987886760617324,72200779,70335669,0.97416773024014,26690,Aa2,12.39,2315493100,3274360077.63,75,0.080539332323888,30.66,3930.27,Capital Region COG
WILLINGTON,JG,2011,161,160,T,9210797,3136048,12346845,-1162755,4652039,10996151,15859734,12108577,431232,15653325,0,153750,402044,402044,-195635,123135,-41885,0,3285112.56,3165976,6451088.56,,,2494015,Y,,N,N,11035097,10919642,0.989537473028103,11114196,10960912,0.986208269136157,6033,Aa3,33.270000000000003,471680722,670636840.88,18,0.066476239937678,23.4,799.23,Windham Region COG
WILTON,JG,2011,162,161,F,89574104,25290344,115191582,4707393,8951916,101459644,112607514,74243675,9110955,111339137,629033,920271,193156,193156,1704254,-2567625,1995492,0,,66079327,66079327,,,18936497,N,,N,N,99307392,98413428,0.990998011507542,100866012,98940190,0.980907126575005,18242,Aaa,26.95,5058482712,6283042965.56,2,0.060326472675657,20.16,4331.6400000000003,South Western RPA
WINCHESTER,JG,2011,163,162,L,37937496,-2596393,35865361,-1204980,10019954,20736727,31713426,20951073,715134,31777680,0,0,0,0,-64254,-228805,-64254,-484079,,6046558,6046558,,,164561,Y,,N,N,20613265,20198358,0.98,21213584,20560245,0.969,11175,A1,32.28,813828330,1148681920.96,127,0.096181046676096,25.43,1372.1,Litchfield Hills Cncl of Elected Ofcls
WINDHAM,JG,2011,164,163,W,16234047,9351701,30650071,469116,30986301,30052454,63763028,41599963,2832335,61669841,251890,5664967,1161998,2808200,1183079,1368906,4949954,0,,27010230,27010230,,,13085227,Y,,N,N,29774647,29161587,0.979409999386391,30660796,29548175,0.963711933636687,25214,Aa3,27.07,925815494,1472431838.22,725,0.116253002401922,26.67,3339.75,Windham Region COG
WINDSOR,JG,2011,165,164,H,64665367,16317739,84113663,-1044276,19819257,78440338,102267246,64675805,6020144,95022989,113220,113220,6223950,6223950,1133527,289266,1133527,0,,38485000,38485000,,,18368958,Y,,Y,N,77747083,76655975,0.985965930065826,79213554,77668975,0.980501076873789,29067,Aa1,29.63,2724614072,4039645771.93,216,0.084517216470022,28.38,4153.88,Capital Region COG
WINDSOR LOCKS,JG,2011,166,165,H,52442729,18124500,70571064,2273476,14469734,29739882,45227861,29185597,2569237,43287451,93047,93047,1278732,1278732,754725,-1118058,754725,0,,15807252,15807252,,,9148954,N,,N,N,29417484,28864836,0.981213621124091,30493601,29350055,0.962498820654209,12507,Aa1,9.029999999999999,1236462480,1958535428,89,0.083471074380165,23.15,1889.86,Capital Region COG
WOLCOTT,JG,2011,167,166,NH,43006337,13459056,56465393,-392309,17156857,31582744,49642270,32768203,3920353,49783277,768715,14809490,261000,14164475,366708,263392,504008,0,,30782188,30782188,,,2497372,N,,N,N,31006021,30359089,0.979135278273855,32300069,31183937,0.965444903538751,16652,A1,20.43,1364140207,1945213317.9,47,0.091396672504378,22.68,2979.94,COG of Central Naugatuck Valley
WOODBRIDGE,JG,2011,168,167,NH,50263930,6718460,57280504,1694382,1953014,39415081,43591945,25758313,2400004,41818336,42534,42534,1475452,1475452,340691,-343354,340691,0,15446676.22,14660000,30106676.22,,,5521661,Y,,N,N,39168997,38878498,0.99258344552453,39337324,38922440,0.989453171751083,8976,Aaa,18.829999999999998,1183963180,1693966700,10,0.055894095398193,33.11,1511.22,South Central Regional COG
ESSEX,,2012,50,50,M,13706966,2895522,16602488,-95700,1259999,20147562,21988895,15259930,952884,21983190,0,166692,169886,169886,-164181,,2511,0,6828285.06,9731281,16559566.06,,,3169704,,,,,20061358,19865801,0.990252055718262,20381558,20049423,0.983704140772751,6648,Aa2,,1116538776,1562802545.77,11,0.060081190798376,17.98,969.75,
FAIRFIELD,,2012,51,51,F,249503000,-4379000,249180000,-5710000,24570000,240615000,279052000,161132000,22337000,275517000,12000,332000,2180000,2180000,1367000,,1687000,0,,189319000,189319000,,,16687000,,,,,239402000,236661000,0.988550638674698,243402000,238871000,0.981384705138002,60450,Aaa,,10787725630,15424548292.86,57,0.072142710401972,22.47,10314.030000000001,
FARMINGTON,,2012,52,52,H,74181528,17958223,92139751,3711295,11990375,79556089,93721633,59898122,8892671,92680715,0,5364576,1010000,6284607,30918,,120887,0,,56452884,56452884,,,8258398,,,,,79292043,78957976,0.995786878640521,79719863,79300663,0.994741586547885,25529,Aaa,,3727355263,5016473380.81,42,0.065148591277499,21.27,4045.25,
FRANKLIN,,2012,53,53,NL,8260896,785265,9056081,247565,1600115,4380123,6172683,4364345,230195,6116532,32964,32964,19582,19582,69533,,69533,0,,2191558,2191558,,,397551,,,,,4312941,4267118,0.989375463285957,4409375,4342065,0.984734798015592,1991,,,211212205,291331006.12,5,0.06660823838738,20.54,285.07,
GLASTONBURY,,2012,54,54,H,205117516,36407601,243415493,21713472,18403425,125803008,150378446,99561559,10197520,147400481,0,16633344,4036000,20669344,-1058035,,-1058035,0,,93997752,93997752,,,18533432,,,,,125090308,124429404,0.994716585077079,126170731,125323077,0.993281690664057,34698,Aaa,,4165399080,5718023248.17,33,0.055194281721933,30.05,6825.84,
GOSHEN,,2012,55,55,L,4721651,2390484,7617178,-48383,382760,9186512,9758960,7155779,0,9506014,51100,51100,390576,390576,-86530,,-86530,0,1529377.73,0,1529377.73,,,1845050,,,,,9161026,9094914,0.992783341079918,9259390,9152746,0.988482610625538,2952,,,610305970,788916770.19,8,0.070588235294118,15,409.18,
GRANBY,,2012,56,56,H,46714142,9103401,56334211,-694414,11210292,31683669,43587000,29506830,3430415,43678546,335011,335011,1165029,1165029,-921564,,-921564,0,,23681404,23681404,,,3537640,,,,,31627866,31293869,0.989439787053606,32054483,31513085,0.983110069190634,11316,Aa2,,1057105520,1397471124.39,9,0.062261753494282,30.1,2147.5100000000002,
GREENWICH,,2012,57,57,F,413252862,17396608,431335244,22632378,27425341,306616555,360897505,152486555,23185196,344600243,3998895,3998895,14555000,14555000,5741157,,5741157,0,,93158943,93158943,,,27544087,,,,,306264382,303971405,0.992513079761263,311161288,305756992,0.982631849756323,62256,Aaa,,30363191887,43381228410,120,0.058098710417933,10.111000000000001,8715.2000000000007,
GRISWOLD,,2012,58,58,NL,92615248,-7043880,85943070,2962801,14145562,15638317,31985332,26378099,1847154,31928739,0,0,376750,376750,-320157,,-320157,0,,19721202,19721202,,,2758053,,,,,15538436,15203954,0.978473895313531,16250522,15443236,0.950322457333986,11986,,,826130433,1009839724.55,118,0.087022063861861,18.73,1846.13,
GROTON,,2012,59,59,NL,155538608,38257761,194043912,1875832,43940965,77709085,123676477,79722039,7832715,123131899,797972,18417673,1963764,19405602,-621214,,-443351,0,,58667201,58667201,,,12746891,,,,,77540497,75868185,0.97843305028081,79954815,76897666,0.961764041352607,39896,Aa2,,4110600162,5219564259.81,293,0.087935542393682,18.89,5181.24,
GROTON (City of),,2012,60,501,,20566312,6256564,27560933,-490796,327558,5628575,12381385,0,801259,15302629,3101624,3101624,175832,175832,4548,,4548,0,,3493000,3493000,,,4206855,,,,,5497598,5443915,0.990235189986609,5597114,5523626,0.986870376411844,,Aa3,,,,,,4.135,,
GUILFORD,,2012,61,60,NH,30950017,-3057255,27892762,3696482,10474843,73809996,86138813,56963303,5275703,85428902,0,0,148000,148000,561911,,561911,0,,42705002,42705002,,,5084142,,,,,70073457,69726281,0.995045541994596,70562896,70064123,0.992931511767884,22403,Aa2,,3472194672,4466535556.28,37,0.056747025673137,21.52,3684.08,
HADDAM,,2012,62,61,M,17438822,7878607,25404489,2810632,2197636,25282077,27932516,20170062,49921,26233913,110000,110000,1185102,1185102,623501,,623501,0,8982899.17,180268,9163167.17,,,3195092,,,,,25123509,24809142,0.987487138042699,26279038,25056672,0.953485131381141,8358,Aa3,,890333108,1272219725.71,8,0.060782036391792,28.23,1345.97,
HAMDEN,,2012,63,62,NH,122583892,-283066099,-159065037,-36202433,42518172,139969770,188285326,87773548,15140304,189196483,587527,15114141,0,13565557,-323630,,637427,0,,143213863,143213863,,,1194991,,,,,139022100,137428543,0.988537383624618,140986439,137730117,0.976903296351786,60863,A3,,4022975958,5754354481.43,455,0.08331788120403,34.767099999999999,6769.66,
HAMPTON,,2012,64,63,W,5350207,1440332,9101127,364393,1831240,3793257,5742996,4143921,78631,5527377,0,0,208000,208000,7619,,7619,0,0,833979,833979,,,1264326,,,,,3783591,3695670,0.976762551766298,3943543,3749231,0.95072654209679,1869,,,153546826,208128935.16,3,0.095150960658737,24.8,194.99,
HARTFORD,,2012,65,64,H,966580000,50814000,1087549000,23148000,280582000,277245000,573734000,313069000,39647000,532626000,2285000,2840000,38921000,38921000,4472000,,5027000,0,,337080000,337080000,,,30113000,,,,,278481000,261285000,0.938250724465942,312154000,268831000,0.861212734739904,124893,A1,,3738377678,7147577757.37,5698,0.155234657039711,71.790000000000006,21107.37,
HARTLAND,,2012,66,65,H,7307484,1752221,9091768,235870,2004355,4638279,6737652,4786648,221302,6176394,56,56,427989,427989,133325,,133325,0,,1346821,1346821,,,1027439,,,,,4663158,4584101,0.983046467651321,4766841,4615528,0.968257174929896,2132,A1,,197939734,261420905.9,3,0.064516129032258,23.5,319.08999999999997,
HARWINTON,,2012,67,66,L,16750121,3827597,20874093,-591809,3010249,13787053,17057404,11389097,200000,16326782,9780,9780,332000,332000,408402,,408402,0,7786311.48,200000,7986311.48,,,2821078,,,,,13248909,13094643,0.988356324283003,13812225,13516614,0.978597872536829,5600,,,553918475,748162895.9,8,0.071337983512999,23.9,914.82,
